游戏名,vndb_id,中文名,别名,发行年份,品牌,限制级,脚本,原画,音乐,声优,难度,平均分,评分人数,rank,系列作,时长,时长分钟,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11
雪影 -setsuei-,v660,雪影,yukikage,2006,Silver Bullet,R18,日野 亘、有限会社リサイト,むつき ほたる、梅鳥 うりり,松本 慎一郎,一色 ヒカル、北都 南、安玖深 音,easy、normal,7.4,633,1817,否,中篇,1022,悬疑,多角恋,民俗,宅邸,雪,真女主,,,,,
遥かに仰ぎ、麗しの,v604,遥仰凰华,遥麗、Haru Uru、kanishino、kanigishino、仰望那份遥远的美丽,2006,PULLTOP,R18,健速、丸谷 秀人、お～が,藤原々々,有限会社Factory Noise&AG、椎名 治美、ツーファイブ、石川 直人、山西 利治、LS、A',北都 南、安玖深 音、遠山 枝里子、佐本 二厘、風華、井村屋 ほのか,easy、normal,7.4,1575,1580,否,长篇,2615,,,,,,,,,,,
narcissu,v10,水仙,ナルキッソス、ナルキ、水仙花,2005,Stage-nana,R18,片岡 とも,MITAONSYA、司 ゆうき,水月 陵、Barbarian On The Groove、猫野 こめっと、SENTIVE、ebi、MASA、藤間 仁、石橋 弘史、onoken、上松 範康、館内 明,綾川 りの,beginner、easy、normal,8.4,6452,113,是,短篇,168,单女主,真女主,疾病,,,,,,,,
School Days,v14,日在校园,スクールデイズ、SD、School Day’s ～スクールデイズ～、School Days（Face版）,2005,0verflow,R18,メイザーズ ぬまきち,ごとう じゅんじ,飯塚 昌明、ebi、Manack、HIKO、林 克洋、太田 雅友、大久保 薫,柚木 かなめ、平井 達矢、遠野 そよぎ,easy、normal,7,824,3603,是,中篇,1620,多角恋,血腥,,,,,,,,,
最果てのイマ,v1278,最后的现在,Farthest,2005,Xuse,R18,田中 ロミオ,あらき まき,たくまる、Erik Satie,みる、仲達、柏木 誉、風音、松永 雪希、大花 どん、夏野 向日葵、黒崎 猫、薔薇 珈琲,normal,8.5,451,120,否,长篇,2700,科幻,超能力,末日,,,,,,,,
夜明け前より瑠璃色な,v232,夜明前的琉璃色,Brighter than Dawning Blue、yoakena、keyorina、akeruri、yoriruri、yoaruri、ruriiro、amaeruna、夜明けな、けよりな、あけるり、明け瑠璃、よりるり、よあるり、瑠璃色、あまえるな、Yoake Mae yori Ruriiro na,2005,AUGUST,R18,榊原 拓、内田 ヒロユキ、安西 秀明、岡田 留奈,べっかんこう、カワギシ ケイタロウ、脳みそホエホエ、北川 由貴,Active Planets、スミイ酸、DJ SHIMAMURA、WACHA、Georges Bizet,高野 直子、氷青、生天目 仁美、後藤 麻衣、成瀬 未亜、伊藤 静、佐本 二厘、黒河 奈美,easy、normal,6.8,949,4934,否,长篇,2536,失忆,真女主,,,,,,,,,
智代アフター 〜It’s a Wonderful Life〜,v12,智代After ～It's a Wonderful Life～,Tomoyo After ~It's a Wonderful Life~、智代After,2005,Key,R18,麻枝 准、樫田 レオ、都乃河 勇人、藤井 知貴,樋上 いたる、フミオ,麻枝 准、折戸 伸治、戸越 まごめ、I've、高瀬 一矢、羽越 実羽、清水 由紀,一色 ヒカル、中村 悠一、涼森 ちさと、佐々木 あかり、新田 祐一,easy、normal,7.2,1532,2521,是,中篇,840,失忆,夏天,乡村,单女主,真女主,,,,,,
車輪の国、向日葵の少女,v57,车轮之国、向日葵的少女,Syarin、车轮之国,2005,AKABEiSOFT2,R18,るーすぼーい,有葉,MANYO、片霧 烈火、ebi、生田 真心、下地 和彦、まつ、如日、tiko-μ、Morrigan,新城 麻奈、さとう 雅義、芹園 みや、紫華 すみれ,beginner、easy、normal,8.1,3311,323,否,长篇,1882,悬疑,夏天,反乌托邦,,,,,,,,
カルタグラ ～ツキ狂イノ病～,v515,恋狱～月狂病～,Karutagura ~Tsuki-gurui no Yamai~、恋狱月狂病,2005,Innocent Grey,R18,Dr.どっぷり、黒田 百年、鈴鹿 美弥、飯田 和彦,杉菜 水姫,MANYO,一色 ヒカル、吉沢 悠亜、雅 姫乃、秋城 柚月、機知 通、森井 花音、井村屋 ほのか,easy、normal,7.5,1862,1409,是,中篇,1031,悬疑,血腥,多角恋,犯罪,雪,,,,,,
灯穂奇譚,v5711,灯穗奇谭,とうすいきたん、灯穗奇谭,2005,Mizukagami,R18,横浜 元町,基4%、硯、月音、梱枝 りこ,ピクセルビー、LaLa、煉獄 小僧,一色 ヒカル、楠 鈴音、北都 南、成瀬 未亜,easy、normal,6.9,666,4401,否,中篇,610,悬疑,转生/轮回,民俗,乡村,,,,,,,
塵骸魔京,v400,尘骸魔京,Chaos Gate Jingai Makyo、じんがいまきょう,2005,NITRO+,R18,夜刀 史朗、笹木 弓,Nishii、よう太、ヨダ,ジズスタジオ、磯江 俊道、大山 曜、村上 正芳,由良 香、木島 宇太、三咲 里奈、霧島 七海,easy、normal,7.4,509,1917,否,长篇,2198,悬疑,战斗,奇幻,科幻,,,,,,,
刃鳴散らす,v430,刃鸣散,,2005,NITRO+,R18,奈良原 一鉄,大崎 シンヤ,ジズスタジオ、磯江 俊道、大山 曜、神保 伸太郎、泉 邦宏、立花 泰彦,杉崎 和哉、鈴美 巴、守田 羽糸、須本 綾奈、オイリーはな,easy、normal,7,550,3940,否,短篇,450,战斗,血腥,,,,,,,,,
パルフェ ～chocolat second brew～,v683,女仆咖啡帕露菲,纯爱咖啡厅、Parfait ~Chocolat Second Brew~”Re-order”,2005,GIGA,R18,丸戸 史明、企画屋、叶 希一、小林 且典,ねこにゃん,I've、ave;new、黒須 克彦、C.G Mix、R.H、桜乃 明日華,宮崎 羽衣、中原 麻衣、深井 晴花、浅野 麻理亜、MIENO、高槻 つばさ、野川 さくら、新谷 良子、斎藤 桃子、稲村 優奈、庄子 裕衣、千葉 紗子,beginner、easy、normal,8,1954,469,是,中篇,1719,咖啡厅,,,,,,,,,,
120円の春,v2585,120日元之春,ひゃくにじゅうえんのはる、Hyakunijuu En no Haru、￥120 Stories、120 Yen Stories,2005,NekoNeko Soft,R18,片岡 とも,u-r、オダワラハコネ、蜂矢,Elements Garden、SENTIVE、藤間 仁、Barbarian On The Groove、猫野 こめっと、ebi、石橋 弘史、443、feel,田口 宏子、能登 麻美子、河本 明子,easy、normal,7.2,1175,2800,否,短篇,234,,,,,,,,,,,
CLANNAD,v4,,クラナド、CL、小镇家族,2004,Key,全年龄,麻枝 准、涼元 悠一、魁、丘野 塔也、藤井 知貴,樋上 いたる,麻枝 准、折戸 伸治、戸越 まごめ、菊地 創,中原 麻衣、広橋 涼、能登 麻美子、桑島 法子、野中 藍、神田 朱未、榎本 温子,beginner、easy、normal,8.9,6392,13,是,超长篇,4680,多角恋,真女主,疾病,,,,,,,,
planetarian ～ちいさなほしのゆめ～,v34,星之梦,planetarian - Dream of Little Star -、星之梦,2004,Key,全年龄,涼元 悠一,駒都 えーじ,折戸 伸治、戸越 まごめ、Charles Crozat Converse,小野 大輔、すずき けいこ,beginner、easy、normal,7.9,4352,492,是,短篇,234,科幻,末日,单女主,,,,,,,,
Forest,v599,,フォレスト,2004,Liar-soft,R18,星空 めてお、高尾 登山,大石 竜子,椎名 治美、ノーブランド サウンズ、九十九 百太郎、山西 利治、長崎 繁、LS,一色 ヒカル、かわしま りの、野月 まひる、みる,easy、normal,8.5,1069,90,否,中篇,924,奇幻,魔法,meta,真女主,,,,,,,
シンフォニック=レイン,v38,交响乐之雨,Симфония дождя、Symphonic Rain,2004,Kuroneko-san Team,全年龄,西川 真音、松園 浩史,しろ,磯江 俊道、岡崎 律子、光宗 信吉、西脇 辰弥、安部 潤,中原 麻衣、笠原 弘子、浅野 真澄、折笠 富美子、宮下 道央,beginner、easy、normal,8.5,2817,82,否,长篇,1950,失忆,多角恋,音乐主题,,,,,,,,
ひぐらしのなく頃に解,v68,寒蝉鸣泣之时解,Higurashi Kai、When They Cry 2、Higu2、寒蝉解,2004,07th Expansion,全年龄,竜騎士07,rato、竜騎士07、クロサキ,ジズスタジオ、dai、志倉 千代丸、OdiakeS、上野 浩司、磯江 俊道、5zizz、Morrigan、川越 好博、ラック眼力、zts、七瀬 光、折倉 俊則、pre-holder、SB YUNE、煉獄庭園、海老スパ、すえばし、tack、モロコ、風域、DJ NETA-RAW、朱月 笛丸、カレギュウ (oi),小野 大輔、田村 ゆかり、保志 総一朗、中原 麻衣、雪野 五月、大川 透、関 俊彦、伊藤 美紀、かない みか,easy、normal,8.4,853,133,是,超长篇,3900,悬疑,奇幻,血腥,时间旅行,夏天,犯罪,民俗,电波,,,
CARNIVAL,v1001,狂欢节,カーニバル,2004,FlyingShine,R18,瀬戸口 廉也、たにみちNON、寿衣谷,川原 誠,milktub、Elements Garden、菊田 大介、藤田 淳平、上松 範康,氷河流、ダイナマイト☆亜美、白井 綾乃、岩泉 まい、吉川 華生、伊藤 瞳子,easy、normal,7.4,1491,1611,否,中篇,758,悬疑,失忆,犯罪,民俗,真女主,,,,,,
Remember11 -the age of infinity-,v13,Remember11：无限轮回的时光,Remember11、R11、リメンバーイレブン ジ・エイジ・オブ・インフィニティ,2004,KID,全年龄,林 直孝、中澤 工、槻潮 鋼、たきもと まさし、松川 しゅうさく、石川健太,左,志倉 千代丸、上野 浩司、大島 こうすけ、阿保 剛、磯江 俊道,子安 武人、友永 朱音、久川 綾、豊口 めぐみ、皆川 純子、江原 正士、森永 理科,beginner、easy、normal,8.9,4534,14,是,中篇,1500,悬疑,科幻,失忆,时间旅行,犯罪,meta,,,,,
3days ～満ちてゆく刻の彼方で～,v1085,3days ～在逝去时间的另一端～,3days ~Till Death Do Us A Part~,2004,Lass,R18,LEGIOん、剣技 マナ、玉沢 円,萩原音泉、ramis,飯塚 博,一色 ヒカル、文月 かな、楠 鈴音、間寺 司、青山 ゆかり、金田 まひる,easy、normal,6.6,1312,6053,否,中篇,1770,悬疑,战斗,血腥,时间旅行,魔法,转生/轮回,犯罪,奇幻,,,
Fate/stay night,v11,,fsn、f、sn、フェイト／ステイナイト、命运守护夜、命運／停駐之夜,2004,TYPE-MOON,R18,虚淵 玄、桜井 光、星空 めてお、東出 祐一郎、奈須 きのこ,武内 崇、こやま ひろかず、森井 しづき、minori、逢倉 千尋,齋藤 真也、オオバ コウスケ、鴇沢 直、杉山 ダニエル 祐樹、KATE、hil、Number 201、James Harris、Philipp Friedrïch Silcher,中田 譲治、杉山 紀彰、川澄 綾子、植田 佳奈、諏訪部 順一、下屋 則子、門脇 舞以,beginner、easy、normal,8.3,5479,166,是,超长篇,5340,战斗,奇幻,超能力,魔法,宅邸,,,,,,
家族計画 ～そしてまた家族計画を～,v3184,家族计划~再开~,Kazokei、KK、FP、家计,2004,D.O.,R18,山田 一,福永 ユミ、VOSS,I've,紫苑 みやび,easy、normal,8.7,1705,26,是,短篇,125,,,,,,,,,,,
Memories Off 〜それから〜,v1171,秋之回忆：从今以后,memoff4、Memo-Off 4、メモオフ4、告别回忆4、秋之回忆4、MO4、メモリーズオフ ～それから～,2004,KID,全年龄,林 直孝、安本 亨、たきもと まさし、持田 康之、松川 しゅうさく,藤宮 博也、松尾 ゆきひろ、輿水 隆之,志倉 千代丸、阿保 剛、彩音,小林 沙苗、かかず ゆみ、古山 きみこ、榎本 温子、石原 絵理子,easy、normal,7.6,1172,1035,是,长篇,1978,咖啡厅,,,,,,,,,,
ToHeart2,v20,ToHeart2,トゥハート２、TH2,2004,Leaf/AQUAPLUS,R18,三宅 章介、枕 流、菅 宗光、まるいたけし,なかむら たけし、みつみ 美里、カワタ ヒサシ、甘露 樹、甘味 みきひろ,まるいたけし、石川 真也、松岡 純也、中上 和英、下川 直哉、衣笠 道雄,中島 沙樹、生天目 仁美、佐藤 利奈、小野 涼子、力丸 乃りこ、斎藤 千和、伊藤 静、落合 祐里香、夏樹 リオ、吉田 小南美、石塚 さより,normal,7.5,275,1389,是,超长篇,3750,,,,,,,,,,,
天使のいない12月,v21,没有天使的12月,没有天使的12月、December When There Is No Angel、A December Without Angels、Tenshi no Inai Juunigatsu,2003,Leaf/AQUAPLUS,R18,三宅 章介,なかむら たけし、みつみ 美里,石川 真也、豆田 将、松岡 純也、中上 和英、下川 直哉,鷹月 さくら、安玖深 音、鮎川 ひなた、井村屋 ほのか、皆美 伊吹,easy、normal,7.1,947,3313,否,中篇,780,多角恋,雪,,,,,,,,,
河原崎家の一族2,v2361,河原崎家的一族2,,2003,elf,R18,土天 冥海、蛭田 昌人,りん しん,与猶 啓至、筒井 香織,安田 未央、井村屋 ほのか、須本 綾奈、百々 麻子、引田 有美,easy、normal,7.7,770,900,是,中篇,1571,悬疑,奇幻,失忆,血腥,时间旅行,犯罪,民俗,宅邸,,,
CROSS†CHANNEL,v66,交错†频道,C+C、クロスチャンネル,2003,FlyingShine,R18,岩片 烈、田中 ロミオ,松竜,志倉 千代丸、新井 健史、Marica、Funczion SOUNDS、BB、AISSIA,榎津 まお、鳩野 比奈、楠 鈴音、児玉 さとみ、中瀬 ひな,beginner、easy、normal,8.5,4204,97,否,长篇,1816,悬疑,时间旅行,夏天,犯罪,乡村,,,,,,
沙耶の唄,v97,沙耶之歌,Saya's Song,2003,NITRO+,R18,虚淵 玄,中央 東口,ジズスタジオ、磯江 俊道、江幡 育子、大山 曜、神保 伸太郎、村上 正芳、川越 好博,川村 みどり、矢沢 泉、片岡 大二郎、佐藤 まこと、氷河流,beginner、easy、normal,7.6,7485,1211,否,短篇,374,血腥,单女主,,,,,,,,,
マブラヴ,v93,Muv-Luv Extra&Unlimited,,2003,age,R18,松永 北斗、タシロ ハヤト、吉宗 鋼紀,Bou、オダワラハコネ、魚、憂姫 はぐれ、黒木 雅弘、かわぎし けいたろう,飯塚 昌明、Sage Koizumi、渡来亜人、ジズ、rino、磯江 俊道、chokix、中山 真斗、鈴木 マサキ、Rolly Unite,笹本 優子,beginner、easy、normal,6.7,2328,5637,是,长篇,2760,战斗,多角恋,末日,机甲,战争,反乌托邦,科幻,,,,
腐り姫 ～euthanasia～,v37,腐姬,,2002,Liar-soft,R18,星空 めてお、睦月 たたら、高尾 登山,中村 哲也,椎名 治美、雑音工房NOISE,かわしま りの、西田 こむぎ、金田 まひる、YUKI、椎名 奏子,beginner、easy、normal,8.2,2351,211,是,中篇,900,失忆,时间旅行,,,,,,,,,
想い出にかわる君 〜Memories Off〜,v1170,沦为回忆的你 ~秋之回忆~,memoff3、Memo-Off 3、メモオフ3、You that became a Memory ~Memories Off~、Omokimi、想君、秋之回忆 想君、秋之回忆3、告别回忆3、MO3,2002,KID,全年龄,秋月 ひろ、緑犬 ふう,ふじさき怜、松尾 ゆきひろ、輿水 隆之,志倉 千代丸、阿保 剛、林 克洋,川澄 綾子、沢城 みゆき、清水 愛、浅野 真澄、高橋 美佳子、福井 裕佳梨、白鳥由里,normal,6.6,452,5950,是,长篇,1908,夏天,咖啡厅,,,,,,,,,
ひぐらしのなく頃に,v67,寒蝉鸣泣之时,Higurashi、When They Cry、寒蝉,2002,07th Expansion,全年龄,竜騎士07,rato、竜騎士07、クロサキ,ジズスタジオ、志倉 千代丸、磯江 俊道、5zizz、千葉 直樹、dai、Morrigan、草薙 孝司,田村 ゆかり、保志 総一朗、中原 麻衣、雪野 五月、茶風林、かない みか,easy、normal,8.3,1220,183,是,超长篇,3000,悬疑,血腥,夏天,犯罪,民俗,乡村,电波,,,,
Ever17 -the out of infinity-,v17,时空轮回,Ever17、Ebaa Sebuntiin、エバー・セブンティーン、E17、时光的羁绊,2002,KID,全年龄,中澤 工、打越 鋼太郎、笹成 稀多郎、梅田 伸明,松尾 ゆきひろ、多岐川 遊、ぼみ、川村 敏江,志倉 千代丸、沢村 竣、上野 浩司、阿保 剛、磯江 俊道,植田 佳奈、下屋 則子、浅川 悠、保志 総一朗、笠原 弘子、望月 久代,beginner、easy、normal,9.1,9716,5,是,长篇,1990,悬疑,科幻,失忆,时间旅行,超能力,阴谋,岛屿,meta,疾病,,
うたわれるもの,v3,传颂之物,Uta (うた)、Uta1、The One Being Sung、The One of Whom Legends Are Sung、Legendsung、受讚颂者,2002,Leaf/AQUAPLUS,R18,菅 宗光,甘露 樹,豆田 将、松岡 純也、下川 直哉、石川 真也、米村 高広,沢城 みゆき、田中 敦子、大原 さやか、浪川 大輔、中原 麻衣、柚木 涼香、小山 剛志、桐井 大介、三宅 華也、釘宮 理恵、小山 力也、富坂 晶,easy、normal,7.8,1636,628,是,长篇,2206,悬疑,战斗,奇幻,科幻,失忆,魔法,转生/轮回,阴谋,末日,战争,
BALDR FORCE,v221,,バルドフォース、バルドフォースエグゼ、BF、装甲之力,2002,GIGA,R18,卑影 ムラサキ,菊池 政治,桃井 はるこ、齋藤 真也、ave;new、C.G Mix、Hirasan、a.k.a.dRESS、河内のおっさん,川澄 綾子、石田 彰、まき いづみ、能登 麻美子、芹園 みや、桜木 あおい、根谷 美智子、野川 さくら、坂本 翔子、福井 裕佳梨、武下 真奈美,easy、normal,7.9,640,515,是,长篇,1825,战斗,科幻,失忆,阴谋,机甲,,,,,,
鬼哭街,v183,鬼哭街,鬼哭街 -The Cyber Slayer-,2002,NITRO+,R18,虚淵 玄,中央 東口、Nishii、石渡 マコト,ジズスタジオ,田村 ゆかり、井上 和彦、速水 奨,easy、normal,7.3,1276,2297,否,短篇,480,战斗,科幻,血腥,单女主,,,,,,,
君が望む永遠,v94,你所期望的永远,KGNE、Kiminozo、君望、君のぞ、The Eternity You Wish For、Rumbling Hearts、愿此刻永恒,2001,age,R18,松永 北斗、タシロ ハヤト、吉宗 鋼紀、佐久間 零式改、渋谷藍,杉原 鎧,飯塚 昌明、渡来亜人、加持久 忍、菊田 大介、清水 永之,栗林 みな実、上原 ともみ、石橋 朋子、雨宮 麻紀、大友 清里、吉田 恭子、安藤 正輝,normal,7.8,347,744,否,超长篇,4098,多角恋,疾病,,,,,,,,,
Memories Off 2nd,v1153,秋之回忆2,memoff2、Memo-Off 2、メモオフ2、メモリーズオフ セカンド、告别回忆2、MO2,2001,KID,全年龄,中澤 工、打越 鋼太郎、西川 真音、日暮 茶坊、笹成 稀多郎、三浦 洋晃、館山 緑、西村 卓也、佐々木 智宏、中山 伸也、澤渡 やよい,ささき むつみ、松尾 ゆきひろ、輿水 隆之、川村 敏江、相坂 直紀,志倉 千代丸、阿保 剛、あきづき かおる、斉藤 かんじ,水樹 奈々、菊池 志穂、南里 侑香、池澤 春菜、千葉 紗子、仲西 環,easy、normal,8.1,1888,345,是,长篇,1800,多角恋,真女主,,,,,,,,,
さよならを教えて 〜comment te dire adieu〜,v1200,对你说再见～comment te dire adieu～,Sayooshi、さよ教、sayo教,2001,CRAFTWORK,R18,長岡 建蔵、石埜 三千穂,長岡 建蔵,I've、さっぽろ ももこ,田中 美智、あさり☆、佐々木 あかり、紬 叶慧、天天,easy、normal,7.4,1678,1695,否,中篇,713,血腥,电波,,,,,,,,,
ジサツのための101の方法,v6475,自杀的101种方法,101 Ways to Commit Suicide、The 101 Methods of Suicide,2001,Duke,R18,山田 おろち,貴森 裕友,YET11、miku,无配音,normal,6,477,9255,否,短篇,474,血腥,阴谋,末日,电波,,,,,,,
家族計画,v155,家族计划,Kazokei、KK、FP、家计,2001,D.O.,R18,山田 一,福永 ユミ、さめだ 小判、くるみ 壱、PAL,I've、高瀬 一矢,比留間 京之介、北都 南、佐々 留美子、桐谷 華、桃井 穂美、七ヶ瀬 輪、平野 響子、片瀬 唯、結衣菜、杉沢 淳子、MIWAKO、桜川 美央、佐藤 涼樹,beginner、easy、normal,8.3,2244,152,是,长篇,1825,,,,,,,,,,,
sense off ～a sacred story in the wind～,v2806,,,2000,otherwise,R18,元長 柾木、シュート 彦,ゆうろ,折戸 伸治、Ecnemuse、高瀬 一矢、桜 恵司、FUDE_R、BIGMADE、えむずぅ,无配音,normal,7.2,258,2824,否,中篇,981,科幻,meta,,,,,,,,,
AIR,v36,,,2000,Key,R18,麻枝 准、涼元 悠一、イシカワ タカシ、丘野 塔也、雲龍寺 魁、藤井 知貴,樋上 いたる,麻枝 准、折戸 伸治、戸越 まごめ、高瀬 一矢,緑川 光、川上 とも子、柚木 涼香、岡本 麻見,beginner、easy、normal,8.3,2643,159,是,长篇,1801,失忆,夏天,转生/轮回,民俗,梦境,乡村,真女主,疾病,,,
Never7 -the end of infinity-,v248,第七夜：无限轮回的终结,ネバーセブン~ジ エンド オブ インフィニティ~、N7,2000,KID,全年龄,中澤 工、打越 鋼太郎、日暮 茶坊、程島 健、市川 和弘,松尾 ゆきひろ、影崎 由那、ちゅるり、永井 岳人,志倉 千代丸、阿保 剛,千葉 進歩、井上 喜久子、川上 とも子、松岡 由貴、山崎 和佳奈,easy、normal,7.1,950,3015,是,中篇,1573,悬疑,时间旅行,岛屿,,,,,,,,
Phantom PHANTOM OF INFERNO,v45,幻灵镇魂曲,ファントム、PoI、幻灵 -徬徨于无限地狱-、Phantom,2000,NITRO+,R18,虚淵 玄,菊地 洋子、つばた よしあき、中央 東口、矢野口 君,七瀬 光、筒井 香織、磯江 俊道、大山 曜、Johann Sebastian Bach、神保 伸太郎、ジズスタジオ、有限会社 クワイア、村上 正芳、大網 剛,沢城 みゆき、成田 剣、井上 喜久子、久川 綾、小清水 亜美、荻原 秀樹、こおろぎ さとみ、麻見 順子、高垣 彩陽、南 央美、岡野 浩介、入野 自由、千葉 一伸,easy、normal,8.1,1160,320,是,中篇,1200,战斗,失忆,阴谋,犯罪,,,,,,,
月姫,v7,月姬,Tsukihime: Blue Blue Glass Moon、Under The Crimson Air、Moon Princess,2000,TYPE-MOON,R18,奈須 きのこ,武内 崇,KATE,无配音,beginner、easy、normal,8.2,2549,270,是,长篇,2593,战斗,奇幻,失忆,宅邸,疾病,,,,,,
顔のない月,v240,无颜之月,Moonlight Lady、No Surface Moon,2000,ROOT,R18,宙形 安久里、セロリ、西貝言羽,CARNELIAN,KIM’s SOUNDROOM,岬 友美、藤原 美央子、こおろぎ さとみ、風華、松田 美菜、野上 奈々,normal,7.1,350,3246,否,中篇,1575,悬疑,奇幻,失忆,转生/轮回,宅邸,真女主,,,,,
加奈 〜いもうと〜,v2,加奈妹妹,Kana: Imouto、Kana: Little Sister,1999,D.O.,R18,山田 一,綾風 柳晶、米倉 けんご,高橋 秀紀、ロドリゲス のぶ,高野 直子、小林 沙苗、小田 真ゆみ,easy、normal,8,1147,434,是,中篇,614,多角恋,真女主,疾病,,,,,,,,
Kanon,v33,,,1999,Key,R18,麻枝 准、久弥 直樹,樋上 いたる,麻枝 准、折戸 伸治、OdiakeS、高瀬 一矢,堀江 由衣、田村 ゆかり、杉田 智和、飯塚 雅弓、國府田 マリ子、小西 寛子、佐藤 朱,easy、normal,7.8,1459,723,是,长篇,1845,失忆,雪,,,,,,,,,
Memories Off,v1152,秋之回忆,memof、Memo-Off、メモオフ、告别回忆、秋之回忆1、MO1,1999,KID,全年龄,馬場 卓也、打越 鋼太郎、日暮 茶坊、佐々木 智宏、Brain Busters、安部 理一郎、TAS、高林 信仁,永井 岳人、ささき むつみ、松尾 ゆきひろ、長坂 寛治,志倉 千代丸、磯江 俊道、Tatsh、阿保 剛,緑川 光、田村 ゆかり、浅野 るり、那須 めぐみ、山本 麻里安、利田 優子、河合 久美,easy、normal,7.5,1239,1305,是,中篇,1500,真女主,,,,,,,,,,
WHITE ALBUM,v236,白色相簿,ホワイトアルバム,1998,Leaf/AQUAPLUS,R18,涼元 悠一、枕 流、まるいたけし、JIGY、原田 宇陀児、竹林 明秀,カワタ ヒサシ、鳥の、水無月 トオル,豆田 将、松岡 純也、石川 真也、中上 和英、下川 直哉,佐藤 利奈、朴 璐美、水樹 奈々、平野 綾、戸松 遥、高本 めぐみ、升 望,normal,7.4,357,1948,是,长篇,2050,多角恋,雪,音乐主题,,,,,,,,
ONE ～輝く季節へ～,v51,ONE～辉之季节～,,1998,Tactics,R18,高林 伸二、麻枝 准、久弥 直樹,mocha、彩 雅介、まろたろ、わいっしゅ、樋上 いたる,たくまる、折戸 伸治、YET11、OdiakeS、石川 修、いしさん、M.S、Ryuji Murayama,みる、雪野 五月、木村 あやか、芹園 みや、高森 奈津美、須本 綾奈、日下 千鶴、今井 由香、大谷 育江、飯塚 雅弓、愛美、横山 智佐、中川 亜紀子、高橋 花林、石見 舞菜香、前田 佳織里、立花 日菜,normal,7.1,421,3340,是,中篇,1348,奇幻,雪,,,,,,,,,
この世の果てで恋を唄う少女YU-NO,v1377,在世界尽头咏唱恋曲的少女YU-NO,A girl who chants love at the bound of this world、Yu-No、Koihate、yuno、YU-NO,1996,elf,R18,剣乃 ゆきひろ,相沢 健一、松下 剛、宮原 稔、多田 弘、野間 明、折笠 方紀、川那部 恭、松尾 ゆきひろ、凪 良、池田 靖宏、相澤 こたろー、福田 知則、上野 こけもも‏、長岡 康史、鍋島 信彦、木村 隆夫、小林 勝寿,与猶 啓至、佐藤 龍一、志倉 千代丸、高見 龍、千葉 直樹、神奈江 紀宏、島田 竜,小林 ゆう、檜山 修之、井上 喜久子、釘宮 理恵、久川 綾、楠 大典、今井 由香、冬馬 由美、大塚 明夫、根谷 美智子、佐久間 レイ、内田 真礼、名塚 佳織、大西 沙織、林 勇、前田 玲奈,easy、normal,8.5,1294,110,否,长篇,2658,悬疑,奇幻,科幻,时间旅行,夏天,阴谋,,,,,
雫,v235,雫,雫 -しずく-、Drip,1996,Leaf/AQUAPLUS,R18,髙橋 龍也,比呂 菊乃助、水無月 徹,衣笠 道雄、折戸 伸治、石川 真也、下川 直哉,鷹月 さくら、一宮 桜、和泉 あやか、立花 舞、今井 かおる、田中 大輔,easy、normal,6.4,683,7591,是,中篇,668,悬疑,超能力,电波,真女主,,,,,,,
同級生2,v2337,同级生2,Classmates 2、Nanpa 2、Dōkyūsei 2、Dokyusei 2,1995,elf,R18,もみあげ ルパン R、蛭田 昌人,すめらぎ 琥珀、八島 タカヒロ、小林 勝寿、竹井 正樹,岩垂 徳行、大熊 謙一、溝口 功、原 太郎、大網 剛、渡辺 靖仁、ウィッチ、与猶 啓至、国枝 学,田中 敦子、北見 六花、折笠 愛、こおろぎ さとみ、秋野 花、姫川 あいり、勝生 真沙子、鶴屋 春人、鈴谷 まや、手塚 ちはる、和央 きりか、葵 時緒、山田 みほ、浅田 葉子、吉田 小南美、中村 尚子、矢島 晶子、松下 美由紀、猫村 ゆき、水沢潤、東雲 りあ、大宮 若葉、藤野 かほる、高田 由美、夏樹 柑菜、よもぎ かすみ、菊池 いづみ,normal,7.9,249,673,是,长篇,2061,,,,,,,,,,,
同級生,v185,同级生,Classmates、Nanpa 1,1992,elf,R18,蛭田 昌人,竹井 正樹,岩垂 徳行、須合 真樹、大熊 謙一、濱田 弘之、角岡 義行、大網 剛、ウィッチ,永島 由子、井上 喜久子、こおろぎ さとみ、笠原留美、高橋 美紀、平松 晶子、水谷 優子、丹下 桜、萩森 侚子、國府田 マリ子、豊嶋 真千子、渡辺菜生子、柳瀬 なつみ、深見 梨加、鈴木 真仁、小野綾子、草地 章江、小野寺麻理子,normal,7.3,121,,是,中篇,900,,,,,,,,,,,
ef - a fairy tale of the two.,v88,悠久之翼,ふたつの物語、エフ ア フェアリー テイル オブ ザ トゥー、ever forever、eternal feather、two stories,2008,minori,R18,御影、鏡 遊,2C＝がろあ、七尾 奈留,天門、柳 英一朗,赤沢 かえで、まき いづみ、安芸怜須 ケン、小満 皐、安玖深 音、山田 ゆな、桜井 美鈴、伊香川 椎音、城樹 翔、壬生 中将,normal,8.1,497,0,否,长篇,2100,悬疑,失忆,多角恋,阴谋,,,,,,,
